Airline,Country,Passengers_2025,Passengers_2024,Passengers_2023,Passengers_2022,Passengers_2021,Passengers_2020,Passengers_2019,Ref
American Airlines,United States,"223,540,000","226,405,000","210,692,000","199,288,000","165,682,000","95,324,000","215,182,000",[11]
Delta Air Lines,United States,"200,000,000","200,000,000","190,000,000","177,000,000",TBA,TBA,"204,000,000",[12][13]
United Airlines,United States,"181,053,000","173,603,000","164,927,000","144,300,000","104,082,000","57,761,000","162,443,000",[14]
Southwest Airlines,United States,"168,334,000","175,466,000","171,817,000","156,982,000","123,264,000","67,785,000","162,681,000",[15]
Alaska Airlines,United States,"58,627,000","49,238,000","44,557,000","41,468,000","32,407,000","17,927,000","46,733,000",[16]
Air Canada,Canada,"45,297,000","45,886,000","44,790,000","36,144,000","13,192,000","13,760,000","51,543,000",[17]
Spirit Airlines†,United States,"32,031,000","44,180,000","44,105,000","38,463,000","30,828,000","18,746,000","34,537,000",[18][19]
JetBlue Airways,United States,"39,336,000","40,498,000","42,534,000","39,562,000","30,094,000","14,274,000","42,727,694",[20]
Frontier Airlines,United States,"33,200,000","33,296,000","30,218,000","25,486,000","20,708,000","13,065,000","21,869,000",[21][22]
Volaris,Mexico,TBA,"29,473,000","33,497,000","31,051,000","24,405,000","14,100,000","21,975,000",[23]
Viva,Mexico,TBA,"27,695,000","24,992,000","20,698,000","15,268,000","8,123,000","12,019,114",[24]
WestJet,Canada,TBA,TBA,TBA,TBA,TBA,TBA,TBA,[25][26]
Aeroméxico,Mexico,TBA,"25,337,000","24,760,000","21,724,000","16,553,000","9,484,000","20,689,000",[27]
Allegiant Air,United States,"18,518,653","16,764,283","17,143,870","16,630,138","13,509,544","8,553,623","14,823,267",[28]
Hawaiian Airlines‡,United States,—N/a,TBA,"10,879,000","10,015,000","6,543,000","3,363,000","11,751,003",[29]
Flair Airlines,Canada,TBA,TBA,"4,500,000",—N/a,—N/a,—N/a,—N/a,[30]
Sun Country Airlines,United States,"4,205,847","4,483,515","4,140,663","3,598,584","2,733,364","1,740,000","3,127,000",[10]
