Rank,Airline,Country,ASM_2025,ASM_2024,ASM_2023,ASM_2022,ASM_2021,ASM_2020,ASM_2019,Passengers_2025,Passengers_2024,Passengers_2023,Passengers_2022,Passengers_2021,Passengers_2020,Passengers_2019,Destinations,Daily departures
1,United Airlines,United States,330,311,291,248.0,179.0,123.0,285.0,181053000.0,173603000.0,164927000.0,144300000.0,104082000.0,57761000.0,162443000.0,240.0,4167.0
2,American Airlines,United States,299,293,278,260.0,215.0,143.0,285.0,223540000.0,226405000.0,210692000.0,199288000.0,165682000.0,95324000.0,215182000.0,233.0,5946.0
3,Delta Air Lines,United States,298,288,272,233.0,194.0,134.0,275.0,200000000.0,200000000.0,190000000.0,177000000.0,,,204000000.0,212.0,4343.0
4,Southwest Airlines,United States,180,178,170,148.0,132.0,103.0,157.0,168334000.0,175466000.0,171817000.0,156982000.0,123264000.0,67785000.0,162681000.0,106.0,3592.0
5,Air Canada,Canada,105,104,99,,,,,45297000.0,45886000.0,44790000.0,36144000.0,13192000.0,13760000.0,51543000.0,48.0,1500.0
6,Alaska Airlines,United States,100,76,69,61.0,53.0,37.0,67.0,58627000.0,49238000.0,44557000.0,41468000.0,32407000.0,17927000.0,46733000.0,111.0,1200.0
7,JetBlue,United States,65,66,68,65.0,54.0,33.0,64.0,,,,,,,,67.0,925.0
8,Spirit Airlines†,United States,40,53,56,49.0,41.0,28.0,42.0,32031000.0,44180000.0,44105000.0,38463000.0,30828000.0,18746000.0,34537000.0,,
9,Frontier Airlines,United States,40,40,38,,,,,33200000.0,33296000.0,30218000.0,25486000.0,20708000.0,13065000.0,21869000.0,81.0,500.0
10,Sun Country Airlines,United States,8,8,7,1.0,1.0,4.0,6.0,4205847.0,4483515.0,4140663.0,3598584.0,2733364.0,1740000.0,3127000.0,74.0,47.0
